File name: 1064_1.txt, Given class: neg, Original Class: neg

File name: 10138_2.txt, Given class: neg, Original Class: neg

File name: 4286_1.txt, Given class: neg, Original Class: neg

File name: 10032_1.txt, Given class: neg, Original Class: neg

File name: 7618_3.txt, Given class: pos, Original Class: neg

File name: 3806_4.txt, Given class: neg, Original Class: neg

File name: 4933_4.txt, Given class: neg, Original Class: neg

File name: 2823_1.txt, Given class: neg, Original Class: neg

File name: 8152_1.txt, Given class: neg, Original Class: neg

File name: 9706_1.txt, Given class: neg, Original Class: neg

File name: 2241_1.txt, Given class: neg, Original Class: neg

File name: 339_1.txt, Given class: neg, Original Class: neg

File name: 2657_2.txt, Given class: neg, Original Class: neg

File name: 6794_1.txt, Given class: neg, Original Class: neg

File name: 9758_1.txt, Given class: neg, Original Class: neg

File name: 10242_2.txt, Given class: neg, Original Class: neg

File name: 4070_1.txt, Given class: neg, Original Class: neg

File name: 12087_3.txt, Given class: pos, Original Class: neg

File name: 3546_4.txt, Given class: neg, Original Class: neg

File name: 8733_3.txt, Given class: pos, Original Class: neg

File name: 11855_1.txt, Given class: neg, Original Class: neg

File name: 2591_1.txt, Given class: neg, Original Class: neg

File name: 8718_4.txt, Given class: neg, Original Class: neg

File name: 10616_1.txt, Given class: neg, Original Class: neg

File name: 4204_1.txt, Given class: neg, Original Class: neg

File name: 9694_3.txt, Given class: neg, Original Class: neg

File name: 6155_4.txt, Given class: neg, Original Class: neg

File name: 1663_1.txt, Given class: neg, Original Class: neg

File name: 4710_2.txt, Given class: neg, Original Class: neg

File name: 2676_4.txt, Given class: pos, Original Class: neg

File name: 10553_1.txt, Given class: neg, Original Class: neg

File name: 2258_1.txt, Given class: pos, Original Class: neg

File name: 5132_1.txt, Given class: neg, Original Class: neg

File name: 8759_3.txt, Given class: neg, Original Class: neg

File name: 318_3.txt, Given class: neg, Original Class: neg

File name: 11242_2.txt, Given class: neg, Original Class: neg

File name: 9335_4.txt, Given class: neg, Original Class: neg

File name: 10246_2.txt, Given class: neg, Original Class: neg

File name: 9835_4.txt, Given class: neg, Original Class: neg

File name: 3341_4.txt, Given class: neg, Original Class: neg

File name: 9232_1.txt, Given class: neg, Original Class: neg

File name: 1114_4.txt, Given class: neg, Original Class: neg

File name: 1978_2.txt, Given class: neg, Original Class: neg

File name: 9280_3.txt, Given class: neg, Original Class: neg

File name: 10521_2.txt, Given class: neg, Original Class: neg

File name: 9083_2.txt, Given class: neg, Original Class: neg

File name: 12001_3.txt, Given class: neg, Original Class: neg

File name: 5009_1.txt, Given class: neg, Original Class: neg

File name: 2801_1.txt, Given class: neg, Original Class: neg

File name: 5189_1.txt, Given class: neg, Original Class: neg

File name: 3651_2.txt, Given class: neg, Original Class: neg

File name: 11477_1.txt, Given class: neg, Original Class: neg

File name: 4747_2.txt, Given class: neg, Original Class: neg

File name: 7466_3.txt, Given class: neg, Original Class: neg

File name: 8720_1.txt, Given class: neg, Original Class: neg

File name: 10537_3.txt, Given class: neg, Original Class: neg

File name: 18_1.txt, Given class: neg, Original Class: neg

File name: 4245_4.txt, Given class: neg, Original Class: neg

File name: 7173_3.txt, Given class: neg, Original Class: neg

File name: 2750_1.txt, Given class: neg, Original Class: neg

File name: 476_1.txt, Given class: neg, Original Class: neg

File name: 6125_1.txt, Given class: neg, Original Class: neg

File name: 9799_2.txt, Given class: neg, Original Class: neg

File name: 6382_1.txt, Given class: neg, Original Class: neg

File name: 7300_1.txt, Given class: neg, Original Class: neg

File name: 5985_2.txt, Given class: neg, Original Class: neg

File name: 3001_1.txt, Given class: neg, Original Class: neg

File name: 6963_4.txt, Given class: neg, Original Class: neg

File name: 7766_1.txt, Given class: neg, Original Class: neg

File name: 10141_1.txt, Given class: neg, Original Class: neg

File name: 1499_3.txt, Given class: neg, Original Class: neg

File name: 4436_4.txt, Given class: pos, Original Class: neg

File name: 2969_2.txt, Given class: neg, Original Class: neg

File name: 7179_2.txt, Given class: neg, Original Class: neg

File name: 8334_3.txt, Given class: neg, Original Class: neg

File name: 12348_1.txt, Given class: neg, Original Class: neg

File name: 1654_1.txt, Given class: neg, Original Class: neg

File name: 889_3.txt, Given class: neg, Original Class: neg

File name: 1578_4.txt, Given class: neg, Original Class: neg

File name: 8783_1.txt, Given class: neg, Original Class: neg

File name: 10856_1.txt, Given class: neg, Original Class: neg

File name: 7909_2.txt, Given class: neg, Original Class: neg

File name: 2362_3.txt, Given class: neg, Original Class: neg

File name: 9187_1.txt, Given class: pos, Original Class: neg

File name: 9498_1.txt, Given class: neg, Original Class: neg

File name: 1638_1.txt, Given class: neg, Original Class: neg

File name: 531_2.txt, Given class: neg, Original Class: neg

File name: 7077_4.txt, Given class: neg, Original Class: neg

File name: 5833_1.txt, Given class: neg, Original Class: neg

File name: 136_2.txt, Given class: neg, Original Class: neg

File name: 4090_3.txt, Given class: neg, Original Class: neg

File name: 11322_1.txt, Given class: neg, Original Class: neg

File name: 11373_3.txt, Given class: neg, Original Class: neg

File name: 12166_2.txt, Given class: neg, Original Class: neg

File name: 2605_4.txt, Given class: neg, Original Class: neg

File name: 9895_4.txt, Given class: neg, Original Class: neg

File name: 10207_3.txt, Given class: neg, Original Class: neg

File name: 2420_1.txt, Given class: neg, Original Class: neg

File name: 2047_3.txt, Given class: neg, Original Class: neg

File name: 300_1.txt, Given class: neg, Original Class: neg

File name: 3225_1.txt, Given class: neg, Original Class: neg

File name: 2666_4.txt, Given class: neg, Original Class: neg

File name: 10712_1.txt, Given class: neg, Original Class: neg

File name: 419_4.txt, Given class: neg, Original Class: neg

File name: 6949_1.txt, Given class: neg, Original Class: neg

File name: 11579_1.txt, Given class: neg, Original Class: neg

File name: 6978_1.txt, Given class: neg, Original Class: neg

File name: 4809_3.txt, Given class: neg, Original Class: neg

File name: 3345_3.txt, Given class: neg, Original Class: neg

File name: 2293_4.txt, Given class: neg, Original Class: neg

File name: 2426_2.txt, Given class: neg, Original Class: neg

File name: 2402_1.txt, Given class: neg, Original Class: neg

File name: 2988_3.txt, Given class: neg, Original Class: neg

File name: 3064_1.txt, Given class: neg, Original Class: neg

File name: 7266_2.txt, Given class: neg, Original Class: neg

File name: 11150_3.txt, Given class: neg, Original Class: neg

File name: 1867_1.txt, Given class: neg, Original Class: neg

File name: 5212_4.txt, Given class: neg, Original Class: neg

File name: 2771_3.txt, Given class: neg, Original Class: neg

File name: 10754_1.txt, Given class: neg, Original Class: neg

File name: 3591_2.txt, Given class: neg, Original Class: neg

File name: 9202_2.txt, Given class: neg, Original Class: neg

File name: 11560_1.txt, Given class: neg, Original Class: neg

File name: 12396_1.txt, Given class: neg, Original Class: neg

File name: 10645_4.txt, Given class: neg, Original Class: neg

File name: 7622_1.txt, Given class: neg, Original Class: neg

File name: 2129_4.txt, Given class: neg, Original Class: neg

File name: 7414_4.txt, Given class: neg, Original Class: neg

File name: 10085_2.txt, Given class: neg, Original Class: neg

File name: 1421_1.txt, Given class: neg, Original Class: neg

File name: 4903_3.txt, Given class: neg, Original Class: neg

File name: 9766_3.txt, Given class: neg, Original Class: neg

File name: 1142_1.txt, Given class: neg, Original Class: neg

File name: 11082_2.txt, Given class: neg, Original Class: neg

File name: 3563_1.txt, Given class: neg, Original Class: neg

File name: 1265_2.txt, Given class: neg, Original Class: neg

File name: 1053_4.txt, Given class: neg, Original Class: neg

File name: 5640_3.txt, Given class: neg, Original Class: neg

File name: 267_1.txt, Given class: neg, Original Class: neg

File name: 11285_2.txt, Given class: neg, Original Class: neg

File name: 11249_4.txt, Given class: neg, Original Class: neg

File name: 8792_3.txt, Given class: neg, Original Class: neg

File name: 1928_4.txt, Given class: neg, Original Class: neg

File name: 4724_3.txt, Given class: neg, Original Class: neg

File name: 1616_3.txt, Given class: neg, Original Class: neg

File name: 4563_4.txt, Given class: neg, Original Class: neg

File name: 10722_1.txt, Given class: neg, Original Class: neg

File name: 625_2.txt, Given class: pos, Original Class: neg

File name: 10615_2.txt, Given class: neg, Original Class: neg

File name: 2287_4.txt, Given class: neg, Original Class: neg

File name: 2101_3.txt, Given class: neg, Original Class: neg

File name: 3463_4.txt, Given class: neg, Original Class: neg

File name: 4472_4.txt, Given class: neg, Original Class: neg

File name: 6536_1.txt, Given class: neg, Original Class: neg

File name: 8093_2.txt, Given class: neg, Original Class: neg

File name: 4646_4.txt, Given class: neg, Original Class: neg

File name: 5730_3.txt, Given class: neg, Original Class: neg

File name: 10394_1.txt, Given class: neg, Original Class: neg

File name: 4253_1.txt, Given class: neg, Original Class: neg

File name: 9483_2.txt, Given class: neg, Original Class: neg

File name: 5814_1.txt, Given class: neg, Original Class: neg

File name: 8602_1.txt, Given class: neg, Original Class: neg

File name: 1983_3.txt, Given class: neg, Original Class: neg

File name: 3408_4.txt, Given class: neg, Original Class: neg

File name: 10669_1.txt, Given class: neg, Original Class: neg

File name: 2376_4.txt, Given class: neg, Original Class: neg

File name: 9056_4.txt, Given class: neg, Original Class: neg

File name: 3619_2.txt, Given class: neg, Original Class: neg

File name: 2618_1.txt, Given class: neg, Original Class: neg

File name: 1397_1.txt, Given class: neg, Original Class: neg

File name: 10474_3.txt, Given class: neg, Original Class: neg

File name: 4638_4.txt, Given class: pos, Original Class: neg

File name: 4488_4.txt, Given class: neg, Original Class: neg

File name: 2046_4.txt, Given class: neg, Original Class: neg

File name: 10057_1.txt, Given class: neg, Original Class: neg

File name: 7336_3.txt, Given class: pos, Original Class: neg

File name: 1585_1.txt, Given class: neg, Original Class: neg

File name: 4282_2.txt, Given class: neg, Original Class: neg

File name: 923_4.txt, Given class: pos, Original Class: neg

File name: 5013_1.txt, Given class: neg, Original Class: neg

File name: 2836_4.txt, Given class: neg, Original Class: neg

File name: 5711_4.txt, Given class: neg, Original Class: neg

File name: 8529_2.txt, Given class: neg, Original Class: neg

File name: 7960_2.txt, Given class: pos, Original Class: neg

File name: 11712_2.txt, Given class: neg, Original Class: neg

File name: 982_4.txt, Given class: neg, Original Class: neg

File name: 8569_2.txt, Given class: neg, Original Class: neg

File name: 8037_1.txt, Given class: neg, Original Class: neg

File name: 9592_2.txt, Given class: neg, Original Class: neg

File name: 8789_4.txt, Given class: neg, Original Class: neg

File name: 10695_1.txt, Given class: neg, Original Class: neg

File name: 6651_1.txt, Given class: neg, Original Class: neg

File name: 2177_2.txt, Given class: pos, Original Class: neg

File name: 12360_4.txt, Given class: neg, Original Class: neg

File name: 1254_2.txt, Given class: neg, Original Class: neg

File name: 8823_4.txt, Given class: neg, Original Class: neg

File name: 8647_4.txt, Given class: neg, Original Class: neg

File name: 4063_4.txt, Given class: neg, Original Class: neg

File name: 7060_3.txt, Given class: pos, Original Class: neg

File name: 12352_3.txt, Given class: neg, Original Class: neg

File name: 2500_2.txt, Given class: neg, Original Class: neg

File name: 11996_1.txt, Given class: neg, Original Class: neg

File name: 1268_2.txt, Given class: neg, Original Class: neg

File name: 4906_1.txt, Given class: neg, Original Class: neg

File name: 11288_4.txt, Given class: neg, Original Class: neg

File name: 3765_4.txt, Given class: neg, Original Class: neg

File name: 880_3.txt, Given class: neg, Original Class: neg

File name: 11527_1.txt, Given class: neg, Original Class: neg

File name: 11231_4.txt, Given class: pos, Original Class: neg

File name: 3338_2.txt, Given class: neg, Original Class: neg

File name: 9824_1.txt, Given class: neg, Original Class: neg

File name: 2744_1.txt, Given class: neg, Original Class: neg

File name: 11448_2.txt, Given class: neg, Original Class: neg

File name: 2583_1.txt, Given class: neg, Original Class: neg

File name: 10162_4.txt, Given class: neg, Original Class: neg

File name: 5727_3.txt, Given class: neg, Original Class: neg

File name: 9346_2.txt, Given class: neg, Original Class: neg

File name: 1120_3.txt, Given class: neg, Original Class: neg

File name: 10435_1.txt, Given class: neg, Original Class: neg

File name: 4309_3.txt, Given class: neg, Original Class: neg

File name: 1861_1.txt, Given class: neg, Original Class: neg
