File name: 1135_8.txt, Given class: pos, Original Class: pos

File name: 11642_8.txt, Given class: neg, Original Class: pos

File name: 7202_10.txt, Given class: neg, Original Class: pos

File name: 5402_7.txt, Given class: neg, Original Class: pos

File name: 7687_10.txt, Given class: pos, Original Class: pos

File name: 10055_10.txt, Given class: neg, Original Class: pos

File name: 5314_8.txt, Given class: pos, Original Class: pos

File name: 6132_10.txt, Given class: pos, Original Class: pos

File name: 1528_9.txt, Given class: pos, Original Class: pos

File name: 1428_10.txt, Given class: neg, Original Class: pos

File name: 2940_7.txt, Given class: neg, Original Class: pos

File name: 2329_10.txt, Given class: pos, Original Class: pos

File name: 4201_9.txt, Given class: pos, Original Class: pos

File name: 8862_9.txt, Given class: neg, Original Class: pos

File name: 2849_7.txt, Given class: pos, Original Class: pos

File name: 2685_10.txt, Given class: pos, Original Class: pos

File name: 3386_10.txt, Given class: pos, Original Class: pos

File name: 9634_9.txt, Given class: neg, Original Class: pos

File name: 9392_9.txt, Given class: neg, Original Class: pos

File name: 7022_8.txt, Given class: pos, Original Class: pos

File name: 6333_9.txt, Given class: neg, Original Class: pos

File name: 8686_10.txt, Given class: neg, Original Class: pos

File name: 8278_10.txt, Given class: neg, Original Class: pos

File name: 3261_7.txt, Given class: pos, Original Class: pos

File name: 11452_7.txt, Given class: neg, Original Class: pos

File name: 12322_8.txt, Given class: pos, Original Class: pos

File name: 9183_7.txt, Given class: pos, Original Class: pos

File name: 3464_10.txt, Given class: pos, Original Class: pos

File name: 120_9.txt, Given class: pos, Original Class: pos

File name: 4537_10.txt, Given class: pos, Original Class: pos

File name: 5468_10.txt, Given class: pos, Original Class: pos

File name: 6430_10.txt, Given class: neg, Original Class: pos

File name: 6216_7.txt, Given class: pos, Original Class: pos

File name: 2165_8.txt, Given class: pos, Original Class: pos

File name: 11277_9.txt, Given class: neg, Original Class: pos

File name: 6069_10.txt, Given class: pos, Original Class: pos

File name: 7645_7.txt, Given class: pos, Original Class: pos

File name: 7263_10.txt, Given class: pos, Original Class: pos

File name: 10421_8.txt, Given class: pos, Original Class: pos

File name: 10131_7.txt, Given class: pos, Original Class: pos

File name: 2844_10.txt, Given class: pos, Original Class: pos

File name: 9606_10.txt, Given class: neg, Original Class: pos

File name: 7192_8.txt, Given class: pos, Original Class: pos

File name: 8520_7.txt, Given class: pos, Original Class: pos

File name: 9813_10.txt, Given class: pos, Original Class: pos

File name: 6680_9.txt, Given class: pos, Original Class: pos

File name: 9460_9.txt, Given class: pos, Original Class: pos

File name: 7271_9.txt, Given class: pos, Original Class: pos

File name: 7974_10.txt, Given class: pos, Original Class: pos

File name: 7741_10.txt, Given class: pos, Original Class: pos

File name: 1396_8.txt, Given class: neg, Original Class: pos

File name: 5609_10.txt, Given class: pos, Original Class: pos

File name: 8892_7.txt, Given class: pos, Original Class: pos

File name: 12_9.txt, Given class: pos, Original Class: pos

File name: 7646_8.txt, Given class: neg, Original Class: pos

File name: 7926_7.txt, Given class: pos, Original Class: pos

File name: 9397_10.txt, Given class: neg, Original Class: pos

File name: 553_9.txt, Given class: pos, Original Class: pos

File name: 10719_7.txt, Given class: pos, Original Class: pos

File name: 7239_7.txt, Given class: pos, Original Class: pos

File name: 9962_10.txt, Given class: pos, Original Class: pos

File name: 9318_7.txt, Given class: pos, Original Class: pos

File name: 4766_8.txt, Given class: pos, Original Class: pos

File name: 3842_7.txt, Given class: pos, Original Class: pos

File name: 4038_9.txt, Given class: pos, Original Class: pos

File name: 206_10.txt, Given class: pos, Original Class: pos

File name: 8779_8.txt, Given class: pos, Original Class: pos

File name: 12385_10.txt, Given class: neg, Original Class: pos

File name: 3528_10.txt, Given class: pos, Original Class: pos

File name: 11511_10.txt, Given class: pos, Original Class: pos

File name: 4965_10.txt, Given class: pos, Original Class: pos

File name: 644_8.txt, Given class: neg, Original Class: pos

File name: 11605_7.txt, Given class: neg, Original Class: pos

File name: 11407_7.txt, Given class: pos, Original Class: pos

File name: 8287_10.txt, Given class: pos, Original Class: pos

File name: 10525_7.txt, Given class: pos, Original Class: pos

File name: 2781_7.txt, Given class: neg, Original Class: pos

File name: 10836_9.txt, Given class: pos, Original Class: pos

File name: 6743_8.txt, Given class: pos, Original Class: pos

File name: 4939_10.txt, Given class: pos, Original Class: pos

File name: 2300_9.txt, Given class: neg, Original Class: pos

File name: 11460_10.txt, Given class: neg, Original Class: pos

File name: 4280_9.txt, Given class: pos, Original Class: pos

File name: 9508_9.txt, Given class: pos, Original Class: pos

File name: 9984_9.txt, Given class: pos, Original Class: pos

File name: 12289_10.txt, Given class: pos, Original Class: pos

File name: 12048_7.txt, Given class: pos, Original Class: pos

File name: 1321_10.txt, Given class: pos, Original Class: pos

File name: 3419_9.txt, Given class: pos, Original Class: pos

File name: 5466_10.txt, Given class: pos, Original Class: pos

File name: 99_10.txt, Given class: pos, Original Class: pos

File name: 1500_9.txt, Given class: pos, Original Class: pos

File name: 10220_10.txt, Given class: pos, Original Class: pos

File name: 2105_9.txt, Given class: pos, Original Class: pos

File name: 7993_10.txt, Given class: neg, Original Class: pos

File name: 4499_8.txt, Given class: pos, Original Class: pos

File name: 9236_10.txt, Given class: pos, Original Class: pos

File name: 280_10.txt, Given class: neg, Original Class: pos

File name: 8824_10.txt, Given class: pos, Original Class: pos

File name: 2834_9.txt, Given class: pos, Original Class: pos

File name: 5819_10.txt, Given class: pos, Original Class: pos

File name: 9742_9.txt, Given class: pos, Original Class: pos

File name: 6283_8.txt, Given class: neg, Original Class: pos

File name: 232_7.txt, Given class: pos, Original Class: pos

File name: 1340_10.txt, Given class: pos, Original Class: pos

File name: 5090_8.txt, Given class: pos, Original Class: pos

File name: 12103_10.txt, Given class: pos, Original Class: pos

File name: 11169_8.txt, Given class: pos, Original Class: pos

File name: 8024_10.txt, Given class: pos, Original Class: pos

File name: 4477_10.txt, Given class: pos, Original Class: pos

File name: 1836_7.txt, Given class: pos, Original Class: pos

File name: 10195_10.txt, Given class: neg, Original Class: pos

File name: 7297_8.txt, Given class: neg, Original Class: pos

File name: 4538_10.txt, Given class: pos, Original Class: pos

File name: 2050_10.txt, Given class: pos, Original Class: pos

File name: 7037_9.txt, Given class: pos, Original Class: pos

File name: 11658_8.txt, Given class: pos, Original Class: pos

File name: 3375_7.txt, Given class: neg, Original Class: pos

File name: 10066_7.txt, Given class: neg, Original Class: pos

File name: 5607_8.txt, Given class: pos, Original Class: pos

File name: 9710_9.txt, Given class: neg, Original Class: pos

File name: 5365_8.txt, Given class: pos, Original Class: pos

File name: 3760_7.txt, Given class: neg, Original Class: pos

File name: 5509_9.txt, Given class: neg, Original Class: pos

File name: 3879_9.txt, Given class: pos, Original Class: pos

File name: 8049_7.txt, Given class: pos, Original Class: pos

File name: 9527_7.txt, Given class: pos, Original Class: pos

File name: 1873_7.txt, Given class: neg, Original Class: pos

File name: 1559_10.txt, Given class: pos, Original Class: pos

File name: 7977_7.txt, Given class: neg, Original Class: pos

File name: 10522_10.txt, Given class: pos, Original Class: pos

File name: 4885_10.txt, Given class: pos, Original Class: pos

File name: 10962_7.txt, Given class: pos, Original Class: pos

File name: 400_10.txt, Given class: pos, Original Class: pos

File name: 11485_9.txt, Given class: neg, Original Class: pos

File name: 10198_8.txt, Given class: pos, Original Class: pos

File name: 1754_8.txt, Given class: pos, Original Class: pos

File name: 6913_9.txt, Given class: pos, Original Class: pos

File name: 794_7.txt, Given class: pos, Original Class: pos

File name: 4937_9.txt, Given class: pos, Original Class: pos

File name: 1299_9.txt, Given class: neg, Original Class: pos

File name: 10065_8.txt, Given class: pos, Original Class: pos

File name: 4823_8.txt, Given class: neg, Original Class: pos

File name: 10814_9.txt, Given class: pos, Original Class: pos

File name: 10733_10.txt, Given class: pos, Original Class: pos

File name: 12451_10.txt, Given class: pos, Original Class: pos

File name: 5770_7.txt, Given class: neg, Original Class: pos

File name: 8731_7.txt, Given class: pos, Original Class: pos

File name: 8802_10.txt, Given class: pos, Original Class: pos

File name: 2952_10.txt, Given class: pos, Original Class: pos

File name: 4410_8.txt, Given class: pos, Original Class: pos

File name: 1066_8.txt, Given class: pos, Original Class: pos

File name: 4190_10.txt, Given class: pos, Original Class: pos

File name: 4520_10.txt, Given class: pos, Original Class: pos

File name: 11066_7.txt, Given class: pos, Original Class: pos

File name: 10088_8.txt, Given class: neg, Original Class: pos

File name: 530_10.txt, Given class: neg, Original Class: pos

File name: 9648_8.txt, Given class: pos, Original Class: pos

File name: 1232_8.txt, Given class: pos, Original Class: pos

File name: 11744_7.txt, Given class: pos, Original Class: pos

File name: 9042_10.txt, Given class: pos, Original Class: pos

File name: 8896_8.txt, Given class: pos, Original Class: pos

File name: 8669_9.txt, Given class: pos, Original Class: pos

File name: 5148_7.txt, Given class: pos, Original Class: pos

File name: 7822_8.txt, Given class: pos, Original Class: pos

File name: 8723_8.txt, Given class: pos, Original Class: pos

File name: 11093_10.txt, Given class: pos, Original Class: pos

File name: 2740_10.txt, Given class: neg, Original Class: pos

File name: 11466_8.txt, Given class: neg, Original Class: pos

File name: 9115_10.txt, Given class: pos, Original Class: pos

File name: 3570_8.txt, Given class: neg, Original Class: pos

File name: 3830_10.txt, Given class: pos, Original Class: pos

File name: 8704_9.txt, Given class: neg, Original Class: pos

File name: 2722_10.txt, Given class: pos, Original Class: pos

File name: 2702_7.txt, Given class: pos, Original Class: pos

File name: 8822_10.txt, Given class: pos, Original Class: pos

File name: 7220_8.txt, Given class: neg, Original Class: pos

File name: 3823_10.txt, Given class: neg, Original Class: pos

File name: 1561_10.txt, Given class: pos, Original Class: pos

File name: 1892_10.txt, Given class: neg, Original Class: pos

File name: 7381_9.txt, Given class: pos, Original Class: pos

File name: 10336_7.txt, Given class: pos, Original Class: pos

File name: 435_7.txt, Given class: pos, Original Class: pos

File name: 11313_10.txt, Given class: neg, Original Class: pos

File name: 3803_10.txt, Given class: pos, Original Class: pos

File name: 6427_7.txt, Given class: pos, Original Class: pos

File name: 8696_9.txt, Given class: pos, Original Class: pos

File name: 12097_10.txt, Given class: neg, Original Class: pos

File name: 2717_8.txt, Given class: pos, Original Class: pos

File name: 11663_10.txt, Given class: pos, Original Class: pos

File name: 8407_10.txt, Given class: neg, Original Class: pos

File name: 11865_7.txt, Given class: neg, Original Class: pos

File name: 5405_7.txt, Given class: pos, Original Class: pos

File name: 11013_10.txt, Given class: pos, Original Class: pos

File name: 1662_7.txt, Given class: pos, Original Class: pos

File name: 106_9.txt, Given class: pos, Original Class: pos

File name: 8463_10.txt, Given class: pos, Original Class: pos

File name: 9118_10.txt, Given class: pos, Original Class: pos

File name: 9257_10.txt, Given class: pos, Original Class: pos

File name: 863_10.txt, Given class: neg, Original Class: pos

File name: 8232_7.txt, Given class: pos, Original Class: pos

File name: 941_10.txt, Given class: pos, Original Class: pos

File name: 5795_8.txt, Given class: pos, Original Class: pos

File name: 1609_10.txt, Given class: pos, Original Class: pos

File name: 11768_8.txt, Given class: pos, Original Class: pos

File name: 7856_10.txt, Given class: pos, Original Class: pos

File name: 10415_7.txt, Given class: pos, Original Class: pos

File name: 5482_8.txt, Given class: pos, Original Class: pos

File name: 5953_8.txt, Given class: neg, Original Class: pos

File name: 11544_10.txt, Given class: pos, Original Class: pos

File name: 8918_7.txt, Given class: neg, Original Class: pos

File name: 8471_9.txt, Given class: pos, Original Class: pos

File name: 1726_10.txt, Given class: pos, Original Class: pos

File name: 10479_10.txt, Given class: pos, Original Class: pos

File name: 820_9.txt, Given class: neg, Original Class: pos

File name: 12210_10.txt, Given class: neg, Original Class: pos

File name: 2438_10.txt, Given class: pos, Original Class: pos

File name: 7585_10.txt, Given class: pos, Original Class: pos

File name: 5382_9.txt, Given class: pos, Original Class: pos

File name: 11562_8.txt, Given class: pos, Original Class: pos

File name: 2665_10.txt, Given class: pos, Original Class: pos

File name: 10268_7.txt, Given class: pos, Original Class: pos

File name: 4018_10.txt, Given class: pos, Original Class: pos

File name: 2565_8.txt, Given class: pos, Original Class: pos

File name: 8692_8.txt, Given class: pos, Original Class: pos

File name: 2918_9.txt, Given class: pos, Original Class: pos

File name: 11086_8.txt, Given class: pos, Original Class: pos

File name: 264_10.txt, Given class: pos, Original Class: pos

File name: 8468_8.txt, Given class: pos, Original Class: pos

File name: 2646_10.txt, Given class: pos, Original Class: pos

File name: 9845_8.txt, Given class: pos, Original Class: pos

File name: 9445_10.txt, Given class: pos, Original Class: pos

File name: 10092_8.txt, Given class: neg, Original Class: pos

File name: 11725_10.txt, Given class: pos, Original Class: pos

File name: 1913_10.txt, Given class: neg, Original Class: pos

File name: 9874_7.txt, Given class: pos, Original Class: pos

File name: 343_9.txt, Given class: pos, Original Class: pos

File name: 12297_7.txt, Given class: pos, Original Class: pos

File name: 3721_10.txt, Given class: neg, Original Class: pos

File name: 11007_8.txt, Given class: pos, Original Class: pos

File name: 7753_10.txt, Given class: pos, Original Class: pos

File name: 10085_10.txt, Given class: neg, Original Class: pos

